,ID,Q,Rating,Ctype,CtypeT,CtypeC,Anim,Cpair
290,9,2,4,PhsH,TransH,Csl,ivs,caus
291,9,3,7,PhsH,TransH,Csl,base,caus
292,9,4,7,PhsH,TransH,Csl,base,caus
293,9,5,4,PhsH,TransH,Csl,ivs,base
294,9,6,7,PhsH,TransH,Csl,ivs,base
295,9,7,7,PhsH,TransH,Csl,base,base
296,9,8,7,PhsH,TransH,Csl,base,base
297,9,9,6,PhsL,TransL,Csl,ivs,caus
298,9,10,7,PhsL,TransL,Csl,ivs,caus
299,9,11,7,PhsL,TransL,Csl,base,caus
300,9,12,7,PhsL,TransL,Csl,base,caus
301,9,13,7,PhsL,TransL,Csl,ivs,base
302,9,14,6,PhsL,TransL,Csl,ivs,base
303,9,15,7,PhsL,TransL,Csl,base,base
304,9,16,7,PhsL,TransL,Csl,base,base
305,9,17,7,Aff,TransL,Csl,ivs,caus
306,9,18,3,Aff,TransL,Csl,ivs,caus
307,9,19,7,Aff,TransL,Csl,ivs,base
308,9,20,7,Aff,TransL,Csl,ivs,base
309,9,21,7,Loc,TransL,NCsl,ivs,caus
310,9,22,7,Loc,TransL,NCsl,ivs,caus
311,9,23,7,Loc,TransL,NCsl,base,caus
312,9,24,7,Loc,TransL,NCsl,base,caus
313,9,25,5,Loc,TransL,NCsl,ivs,base
314,9,26,7,Loc,TransL,NCsl,ivs,base
315,9,27,7,Loc,TransL,NCsl,base,base
316,9,28,7,Loc,TransL,NCsl,base,base
317,9,29,7,Poss,TransL,NCsl,ivs,caus
318,9,30,7,Poss,TransL,NCsl,ivs,caus
319,9,31,7,Poss,TransL,NCsl,base,caus
320,9,32,7,Poss,TransL,NCsl,base,caus
321,9,33,7,Poss,TransL,NCsl,ivs,base
322,9,34,7,Poss,TransL,NCsl,ivs,base
323,9,35,7,Poss,TransL,NCsl,base,base
324,9,36,7,Poss,TransL,NCsl,base,base
325,10,1,7,PhsH,TransH,Csl,ivs,caus
326,10,2,6,PhsH,TransH,Csl,ivs,caus
327,10,3,7,PhsH,TransH,Csl,base,caus
328,10,4,6,PhsH,TransH,Csl,base,caus
329,10,5,7,PhsH,TransH,Csl,ivs,base
330,10,6,7,PhsH,TransH,Csl,ivs,base
331,10,7,7,PhsH,TransH,Csl,base,base
332,10,8,7,PhsH,TransH,Csl,base,base
333,10,9,7,PhsL,TransL,Csl,ivs,caus
334,10,10,6,PhsL,TransL,Csl,ivs,caus
335,10,11,7,PhsL,TransL,Csl,base,caus
336,10,12,7,PhsL,TransL,Csl,base,caus
337,10,13,7,PhsL,TransL,Csl,ivs,base
338,10,14,7,PhsL,TransL,Csl,ivs,base
339,10,15,7,PhsL,TransL,Csl,base,base
340,10,16,7,PhsL,TransL,Csl,base,base
341,10,17,7,Aff,TransL,Csl,ivs,caus
342,10,18,7,Aff,TransL,Csl,ivs,caus
343,10,19,7,Aff,TransL,Csl,ivs,base
344,10,20,6,Aff,TransL,Csl,ivs,base
345,10,21,6,Loc,TransL,NCsl,ivs,caus
346,10,22,6,Loc,TransL,NCsl,ivs,caus
347,10,23,6,Loc,TransL,NCsl,base,caus
348,10,24,7,Loc,TransL,NCsl,base,caus
349,10,25,7,Loc,TransL,NCsl,ivs,base
350,10,26,7,Loc,TransL,NCsl,ivs,base
351,10,27,7,Loc,TransL,NCsl,base,base
352,10,28,7,Loc,TransL,NCsl,base,base
353,10,29,7,Poss,TransL,NCsl,ivs,caus
354,10,30,7,Poss,TransL,NCsl,ivs,caus
355,10,31,7,Poss,TransL,NCsl,base,caus
356,10,32,7,Poss,TransL,NCsl,base,caus
357,10,33,7,Poss,TransL,NCsl,ivs,base
358,10,34,7,Poss,TransL,NCsl,ivs,base
359,10,35,7,Poss,TransL,NCsl,base,base
360,10,36,7,Poss,TransL,NCsl,base,base
361,11,1,7,PhsH,TransH,Csl,ivs,caus
362,11,2,6,PhsH,TransH,Csl,ivs,caus
363,11,3,7,PhsH,TransH,Csl,base,caus
364,11,4,7,PhsH,TransH,Csl,base,caus
365,11,5,7,PhsH,TransH,Csl,ivs,base
366,11,6,7,PhsH,TransH,Csl,ivs,base
367,11,7,7,PhsH,TransH,Csl,base,base
368,11,8,7,PhsH,TransH,Csl,base,base
369,11,9,7,PhsL,TransL,Csl,ivs,caus
370,11,10,7,PhsL,TransL,Csl,ivs,caus
371,11,11,7,PhsL,TransL,Csl,base,caus
372,11,12,7,PhsL,TransL,Csl,base,caus
373,11,13,7,PhsL,TransL,Csl,ivs,base
374,11,14,7,PhsL,TransL,Csl,ivs,base
375,11,15,7,PhsL,TransL,Csl,base,base
376,11,16,7,PhsL,TransL,Csl,base,base
377,11,17,7,Aff,TransL,Csl,ivs,caus
378,11,18,7,Aff,TransL,Csl,ivs,caus
379,11,19,7,Aff,TransL,Csl,ivs,base
380,11,20,7,Aff,TransL,Csl,ivs,base
381,11,21,7,Loc,TransL,NCsl,ivs,caus
382,11,22,7,Loc,TransL,NCsl,ivs,caus
383,11,23,7,Loc,TransL,NCsl,base,caus
384,11,24,7,Loc,TransL,NCsl,base,caus
385,11,25,7,Loc,TransL,NCsl,ivs,base
386,11,26,7,Loc,TransL,NCsl,ivs,base
387,11,27,7,Loc,TransL,NCsl,base,base
388,11,28,7,Loc,TransL,NCsl,base,base
389,11,29,7,Poss,TransL,NCsl,ivs,caus
390,11,30,7,Poss,TransL,NCsl,ivs,caus
391,11,31,7,Poss,TransL,NCsl,base,caus
392,11,32,7,Poss,TransL,NCsl,base,caus
393,11,33,7,Poss,TransL,NCsl,ivs,base
394,11,34,7,Poss,TransL,NCsl,ivs,base
395,11,35,7,Poss,TransL,NCsl,base,base
396,11,36,7,Poss,TransL,NCsl,base,base
397,12,1,7,PhsH,TransH,Csl,ivs,caus
